ProductName,ProductID,Price,StockQuantity,Category
Product 1,1,422.36,130,Category 2
Product 2,2,629.97,286,Category 3
Product 3,3,815.03,523,Category 4
Product 4,4,961.20,329,Category 5
Product 5,5,908.42,821,Category 6
Product 6,6,286.96,839,Category 7
Product 7,7,574.18,452,Category 8
Product 8,8,290.99,338,Category 9
Product 9,9,683.30,171,Category 10
Product 10,10,332.72,876,Category 1
Product 11,11,188.74,382,Category 2
Product 12,12,412.75,501,Category 3
Product 13,13,337.36,519,Category 4
Product 14,14,618.61,481,Category 5
Product 15,15,538.25,949,Category 6
Product 16,16,279.03,818,Category 7
Product 17,17,397.97,701,Category 8
Product 18,18,910.34,508,Category 9
Product 19,19,222.29,694,Category 10
Product 20,20,145.52,260,Category 1
Product 21,21,215.72,692,Category 2
Product 22,22,75.76,326,Category 3
Product 23,23,64.48,587,Category 4
Product 24,24,769.54,932,Category 5
Product 25,25,76.30,101,Category 6
Product 26,26,114.80,682,Category 7
Product 27,27,442.74,16,Category 8
Product 28,28,90.92,849,Category 9
Product 29,29,179.83,357,Category 10
Product 30,30,401.19,394,Category 1
Product 31,31,165.47,647,Category 2
Product 32,32,651.59,883,Category 3
Product 33,33,520.37,85,Category 4
Product 34,34,922.32,310,Category 5
Product 35,35,293.01,169,Category 6
Product 36,36,354.03,919,Category 7
Product 37,37,107.38,450,Category 8
Product 38,38,82.42,940,Category 9
Product 39,39,329.88,435,Category 10
Product 40,40,135.96,345,Category 1
Product 41,41,218.44,891,Category 2
Product 42,42,812.67,470,Category 3
Product 43,43,405.46,756,Category 4
Product 44,44,301.38,955,Category 5
Product 45,45,484.34,77,Category 6
Product 46,46,98.50,288,Category 7
Product 47,47,485.33,484,Category 8
Product 48,48,247.44,74,Category 9
Product 49,49,987.88,110,Category 10
Product 50,50,166.35,572,Category 1
Product 51,51,382.86,491,Category 2
Product 52,52,677.60,782,Category 3
Product 53,53,823.54,23,Category 4
Product 54,54,359.38,449,Category 5
Product 55,55,30.11,717,Category 6
Product 56,56,496.22,121,Category 7
Product 57,57,474.74,321,Category 8
Product 58,58,832.74,466,Category 9
Product 59,59,680.90,694,Category 10
Product 60,60,722.51,43,Category 1
Product 61,61,625.00,224,Category 2
Product 62,62,877.99,166,Category 3
Product 63,63,413.15,709,Category 4
Product 64,64,135.80,847,Category 5
Product 65,65,397.11,830,Category 6
Product 66,66,403.62,853,Category 7
Product 67,67,922.34,610,Category 8
Product 68,68,21.83,314,Category 9
Product 69,69,314.72,601,Category 10
Product 70,70,954.38,281,Category 1
Product 71,71,427.58,778,Category 2
Product 72,72,576.90,229,Category 3
Product 73,73,653.52,486,Category 4
Product 74,74,127.03,861,Category 5
Product 75,75,718.71,844,Category 6
Product 76,76,907.51,468,Category 7
Product 77,77,263.29,672,Category 8
Product 78,78,230.03,132,Category 9
Product 79,79,965.19,736,Category 10
Product 80,80,131.66,195,Category 1
Product 81,81,724.36,794,Category 2
Product 82,82,729.30,191,Category 3
Product 83,83,807.38,457,Category 4
Product 84,84,962.69,215,Category 5
Product 85,85,593.51,415,Category 6
Product 86,86,102.75,544,Category 7
Product 87,87,61.11,720,Category 8
Product 88,88,630.69,914,Category 9
Product 89,89,202.84,125,Category 10
Product 90,90,70.05,166,Category 1
Product 91,91,486.61,896,Category 2
Product 92,92,534.93,9,Category 3
Product 93,93,442.72,604,Category 4
Product 94,94,201.40,51,Category 5
Product 95,95,664.39,648,Category 6
Product 96,96,860.13,720,Category 7
Product 97,97,224.58,613,Category 8
Product 98,98,460.08,862,Category 9
Product 99,99,212.31,530,Category 10
Product 100,100,816.36,742,Category 1
Product 101,101,995.39,16,Category 2
Product 102,102,60.26,615,Category 3
Product 103,103,30.99,959,Category 4
Product 104,104,25.64,870,Category 5
Product 105,105,932.28,642,Category 6
Product 106,106,842.59,248,Category 7
Product 107,107,429.65,421,Category 8
Product 108,108,264.49,117,Category 9
Product 109,109,977.20,652,Category 10
Product 110,110,495.50,769,Category 1
Product 111,111,458.23,378,Category 2
Product 112,112,654.55,488,Category 3
Product 113,113,840.59,576,Category 4
Product 114,114,910.11,848,Category 5
Product 115,115,217.75,329,Category 6
Product 116,116,59.07,989,Category 7
Product 117,117,339.31,692,Category 8
Product 118,118,741.11,518,Category 9
Product 119,119,867.59,936,Category 10
Product 120,120,311.82,352,Category 1
Product 121,121,332.20,145,Category 2
Product 122,122,610.59,416,Category 3
Product 123,123,239.53,1000,Category 4
Product 124,124,641.21,376,Category 5
Product 125,125,585.26,259,Category 6
Product 126,126,996.04,329,Category 7
Product 127,127,569.69,624,Category 8
Product 128,128,828.41,267,Category 9
Product 129,129,51.83,770,Category 10
Product 130,130,729.80,756,Category 1
Product 131,131,425.65,81,Category 2
Product 132,132,349.14,974,Category 3
Product 133,133,555.41,303,Category 4
Product 134,134,927.54,916,Category 5
Product 135,135,883.42,592,Category 6
Product 136,136,945.80,115,Category 7
Product 137,137,89.38,890,Category 8
Product 138,138,627.65,524,Category 9
Product 139,139,916.78,405,Category 10
Product 140,140,572.58,44,Category 1
Product 141,141,795.12,960,Category 2
Product 142,142,911.56,914,Category 3
Product 143,143,186.36,990,Category 4
Product 144,144,415.30,831,Category 5
Product 145,145,974.36,831,Category 6
Product 146,146,91.71,182,Category 7
Product 147,147,124.17,967,Category 8
Product 148,148,780.52,299,Category 9
Product 149,149,492.46,43,Category 10
Product 150,150,820.72,321,Category 1
Product 151,151,813.65,539,Category 2
Product 152,152,637.84,416,Category 3
Product 153,153,93.17,339,Category 4
Product 154,154,350.72,858,Category 5
Product 155,155,765.58,123,Category 6
Product 156,156,253.50,824,Category 7
Product 157,157,791.85,195,Category 8
Product 158,158,865.05,702,Category 9
Product 159,159,141.19,301,Category 10
Product 160,160,711.83,72,Category 1
Product 161,161,930.14,164,Category 2
Product 162,162,106.98,855,Category 3
Product 163,163,852.69,894,Category 4
Product 164,164,762.71,410,Category 5
Product 165,165,790.89,986,Category 6
Product 166,166,154.97,356,Category 7
Product 167,167,585.58,658,Category 8
Product 168,168,526.02,34,Category 9
Product 169,169,860.22,675,Category 10
Product 170,170,869.18,126,Category 1
Product 171,171,706.56,984,Category 2
Product 172,172,296.70,900,Category 3
Product 173,173,183.41,739,Category 4
Product 174,174,966.68,593,Category 5
Product 175,175,503.73,800,Category 6
Product 176,176,272.33,434,Category 7
Product 177,177,60.25,38,Category 8
Product 178,178,143.89,28,Category 9
Product 179,179,999.45,877,Category 10
Product 180,180,676.76,835,Category 1
Product 181,181,903.13,531,Category 2
Product 182,182,562.11,349,Category 3
Product 183,183,912.61,470,Category 4
Product 184,184,122.95,390,Category 5
Product 185,185,813.51,943,Category 6
Product 186,186,326.04,313,Category 7
Product 187,187,447.36,814,Category 8
Product 188,188,840.71,309,Category 9
Product 189,189,21.75,792,Category 10
Product 190,190,68.80,126,Category 1
Product 191,191,257.13,207,Category 2
Product 192,192,444.46,583,Category 3
Product 193,193,565.66,721,Category 4
Product 194,194,902.97,523,Category 5
Product 195,195,996.92,876,Category 6
Product 196,196,442.45,25,Category 7
Product 197,197,492.33,639,Category 8
Product 198,198,980.97,774,Category 9
Product 199,199,390.30,302,Category 10
Product 200,200,865.01,555,Category 1
Product 201,201,637.74,630,Category 2
Product 202,202,220.52,488,Category 3
Product 203,203,568.36,889,Category 4
Product 204,204,920.37,722,Category 5
Product 205,205,278.39,515,Category 6
Product 206,206,885.43,895,Category 7
Product 207,207,154.34,306,Category 8
Product 208,208,680.74,457,Category 9
Product 209,209,816.90,919,Category 10
Product 210,210,45.69,586,Category 1
Product 211,211,887.04,832,Category 2
Product 212,212,106.05,571,Category 3
Product 213,213,153.49,320,Category 4
Product 214,214,450.61,42,Category 5
Product 215,215,383.26,841,Category 6
Product 216,216,528.57,620,Category 7
Product 217,217,81.43,869,Category 8
Product 218,218,980.10,301,Category 9
Product 219,219,930.35,132,Category 10
Product 220,220,943.98,229,Category 1
Product 221,221,22.58,905,Category 2
Product 222,222,176.92,445,Category 3
Product 223,223,425.65,640,Category 4
Product 224,224,165.77,424,Category 5
Product 225,225,916.21,897,Category 6
Product 226,226,972.39,134,Category 7
Product 227,227,531.80,659,Category 8
Product 228,228,349.42,310,Category 9
Product 229,229,102.91,777,Category 10
Product 230,230,381.06,251,Category 1
Product 231,231,208.72,251,Category 2
Product 232,232,710.14,253,Category 3
Product 233,233,172.76,337,Category 4
Product 234,234,120.44,294,Category 5
