ProductCategoryName,ProductName,TotalSales
Category 3,Product 792,4123
Category 6,Product 535,3918
Category 3,Product 302,3890
Category 5,Product 464,3837
Category 3,Product 922,3610
Category 7,Product 266,3432
Category 4,Product 553,3335
Category 4,Product 543,3317
Category 8,Product 357,3290
Category 10,Product 479,3287
Category 5,Product 364,3275
Category 3,Product 402,3267
Category 8,Product 767,3241
Category 6,Product 195,3113
Category 4,Product 443,3083
Category 6,Product 125,3079
Category 6,Product 655,3058
Category 4,Product 433,3024
Category 7,Product 876,3012
Category 4,Product 663,2925
Category 4,Product 413,2912
Category 5,Product 424,2891
Category 9,Product 378,2882
Category 7,Product 246,2869
Category 8,Product 427,2853
Category 8,Product 57,2847
Category 9,Product 438,2844
Category 8,Product 177,2843
Category 2,Product 571,2821
Category 6,Product 515,2816
Category 1,Product 780,2803
Category 6,Product 765,2802
Category 5,Product 964,2802
Category 9,Product 138,2786
Category 4,Product 243,2719
Category 4,Product 93,2715
Category 8,Product 197,2705
Category 5,Product 834,2704
Category 8,Product 437,2639
Category 9,Product 738,2638
Category 5,Product 554,2601
Category 9,Product 428,2598
Category 7,Product 916,2594
Category 1,Product 410,2584
Category 1,Product 440,2564
Category 9,Product 228,2534
Category 5,Product 584,2493
Category 3,Product 32,2490
Category 2,Product 981,2487
Category 3,Product 522,2483
Category 3,Product 292,2479
Category 2,Product 881,2461
Category 7,Product 66,2445
Category 4,Product 73,2442
Category 5,Product 784,2441
Category 8,Product 117,2438
Category 6,Product 485,2424
Category 3,Product 42,2410
Category 8,Product 627,2404
Category 2,Product 31,2399
Category 9,Product 118,2393
Category 6,Product 395,2389
Category 4,Product 703,2385
Category 1,Product 480,2379
Category 6,Product 295,2369
Category 7,Product 546,2366
Category 7,Product 396,2362
Category 6,Product 85,2361
Category 5,Product 114,2337
Category 2,Product 11,2329
Category 10,Product 939,2323
Category 7,Product 976,2318
Category 9,Product 578,2308
Category 8,Product 557,2306
Category 3,Product 602,2306
Category 9,Product 818,2298
Category 4,Product 323,2295
Category 4,Product 903,2294
Category 5,Product 564,2293
Category 7,Product 936,2286
Category 3,Product 972,2273
Category 2,Product 151,2273
Category 5,Product 864,2269
Category 6,Product 925,2252
Category 7,Product 116,2250
Category 3,Product 702,2247
Category 8,Product 537,2226
Category 5,Product 54,2224
Category 10,Product 809,2216
Category 7,Product 426,2214
Category 4,Product 763,2207
Category 1,Product 620,2190
Category 2,Product 781,2180
Category 8,Product 677,2170
Category 1,Product 270,2170
Category 2,Product 461,2158
Category 1,Product 350,2156
Category 8,Product 107,2149
Category 3,Product 882,2147
Category 1,Product 70,2144
Category 1,Product 800,2131
Category 10,Product 559,2129
Category 4,Product 213,2125
Category 10,Product 159,2122
Category 5,Product 814,2119
Category 7,Product 556,2118
Category 10,Product 89,2115
Category 2,Product 731,2110
Category 7,Product 746,2109
Category 3,Product 22,2109
Category 10,Product 249,2103
Category 10,Product 39,2103
Category 8,Product 867,2103
Category 8,Product 717,2102
Category 1,Product 980,2101
Category 2,Product 401,2101
Category 10,Product 489,2100
Category 5,Product 384,2097
Category 4,Product 303,2097
Category 4,Product 593,2093
Category 1,Product 540,2092
Category 1,Product 870,2091
Category 5,Product 64,2087
Category 4,Product 53,2082
Category 3,Product 582,2074
Category 5,Product 104,2059
Category 3,Product 382,2057
Category 1,Product 470,2049
Category 5,Product 254,2040
Category 10,Product 859,2039
Category 1,Product 670,2029
Category 7,Product 326,2029
Category 8,Product 457,2022
Category 7,Product 666,2018
Category 7,Product 96,2011
Category 7,Product 436,2008
Category 6,Product 805,2007
Category 4,Product 113,2006
Category 4,Product 613,2003
Category 2,Product 411,1989
Category 10,Product 799,1987
Category 6,Product 615,1977
Category 9,Product 828,1975
Category 4,Product 43,1973
Category 7,Product 856,1970
Category 5,Product 34,1955
Category 3,Product 102,1953
Category 8,Product 17,1949
Category 10,Product 579,1949
Category 1,Product 930,1944
Category 8,Product 817,1939
Category 4,Product 173,1935
Category 9,Product 218,1935
Category 1,Product 130,1934
Category 4,Product 513,1934
Category 1,Product 360,1934
Category 7,Product 106,1933
Category 9,Product 408,1932
Category 7,Product 306,1931
Category 6,Product 35,1926
Category 8,Product 587,1924
Category 10,Product 19,1923
Category 5,Product 394,1922
Category 10,Product 379,1917
Category 8,Product 857,1915
Category 9,Product 18,1901
Category 1,Product 60,1897
Category 4,Product 673,1892
Category 4,Product 843,1889
Category 9,Product 988,1889
Category 9,Product 638,1881
Category 2,Product 211,1879
Category 7,Product 56,1875
Category 7,Product 886,1874
Category 7,Product 836,1867
Category 1,Product 570,1867
Category 8,Product 127,1867
Category 4,Product 823,1866
Category 5,Product 184,1862
Category 10,Product 199,1859
Category 2,Product 121,1858
Category 6,Product 955,1858
Category 4,Product 163,1853
Category 10,Product 29,1851
Category 6,Product 205,1848
Category 1,Product 950,1848
Category 2,Product 61,1845
Category 2,Product 471,1841
Category 10,Product 239,1835
Category 2,Product 841,1833
Category 1,Product 680,1832
Category 6,Product 585,1830
Category 6,Product 415,1828
Category 7,Product 736,1826
Category 7,Product 356,1825
Category 8,Product 347,1824
Category 4,Product 493,1820
Category 5,Product 634,1820
Category 6,Product 155,1813
Category 8,Product 297,1811
Category 2,Product 581,1809
Category 8,Product 657,1807
Category 3,Product 852,1804
Category 2,Product 81,1804
Category 5,Product 994,1804
Category 6,Product 565,1801
Category 8,Product 727,1792
Category 3,Product 552,1781
Category 8,Product 547,1780
Category 5,Product 4,1776
Category 1,Product 940,1776
Category 6,Product 145,1775
Category 8,Product 517,1774
Category 9,Product 168,1772
Category 9,Product 848,1770
Category 1,Product 230,1769
Category 4,Product 873,1767
Category 1,Product 580,1766
Category 4,Product 13,1765
Category 2,Product 951,1763
Category 8,Product 147,1754
Category 2,Product 751,1753
Category 7,Product 626,1752
Category 2,Product 391,1752
Category 7,Product 766,1751
Category 9,Product 658,1745
Category 8,Product 227,1745
Category 4,Product 293,1743
Category 9,Product 308,1740
Category 9,Product 478,1740
Category 8,Product 927,1740
Category 2,Product 311,1739
Category 5,Product 404,1737
Category 1,Product 460,1735
Category 10,Product 259,1735
Category 2,Product 21,1732
Category 2,Product 541,1731
Category 5,Product 614,1727
Category 4,Product 933,1726
Category 7,Product 276,1714
Category 2,Product 111,1713
Category 10,Product 919,1712
Category 6,Product 595,1711
Category 1,Product 770,1708
Category 3,Product 312,1704
Category 6,Product 335,1702
Category 3,Product 892,1702
Category 5,Product 654,1700
Category 9,Product 268,1700
Category 1,Product 370,1695
Category 6,Product 425,1691
Category 1,Product 720,1687
Category 2,Product 531,1686
Category 7,Product 706,1683
Category 1,Product 960,1681
Category 7,Product 526,1681
Category 8,Product 847,1680
Category 7,Product 826,1677
Category 10,Product 59,1676
Category 7,Product 616,1675
Category 3,Product 952,1673
Category 6,Product 935,1673
Category 1,Product 80,1672
Category 6,Product 465,1671
Category 10,Product 779,1670
Category 6,Product 105,1669
Category 10,Product 399,1658
Category 3,Product 942,1655
Category 1,Product 790,1652
Category 6,Product 405,1651
Category 1,Product 760,1650
Category 7,Product 906,1648
Category 10,Product 389,1648
Category 9,Product 48,1645
Category 5,Product 134,1645
Category 1,Product 430,1644
Category 1,Product 190,1642
Category 10,Product 569,1641
Category 7,Product 206,1640
Category 6,Product 285,1638
Category 5,Product 164,1634
Category 10,Product 279,1631
Category 10,Product 229,1622
Category 1,Product 290,1622
Category 9,Product 568,1618
Category 8,Product 527,1617
Category 10,Product 529,1615
Category 2,Product 181,1614
Category 5,Product 894,1613
Category 3,Product 962,1612
Category 6,Product 65,1612
Category 1,Product 490,1611
Category 5,Product 514,1608
Category 8,Product 397,1606
Category 10,Product 289,1606
Category 7,Product 586,1603
Category 5,Product 234,1598
Category 6,Product 225,1597
Category 8,Product 407,1596
Category 5,Product 494,1591
Category 3,Product 222,1588
Category 4,Product 713,1586
Category 9,Product 878,1586
Category 5,Product 544,1585
Category 8,Product 267,1579
Category 2,Product 171,1578
Category 3,Product 122,1578
Category 10,Product 819,1575
Category 6,Product 705,1574
Category 8,Product 637,1574
Category 9,Product 338,1574
Category 8,Product 317,1568
Category 9,Product 68,1567
Category 2,Product 811,1566
Category 1,Product 530,1561
Category 7,Product 496,1559
Category 8,Product 327,1558
Category 6,Product 215,1555
Category 2,Product 661,1554
Category 7,Product 16,1548
Category 1,Product 100,1547
Category 2,Product 301,1543
Category 3,Product 752,1541
Category 4,Product 643,1539
Category 6,Product 525,1539
Category 1,Product 820,1538
Category 4,Product 683,1527
Category 8,Product 467,1522
Category 3,Product 2,1513
Category 8,Product 237,1511
Category 4,Product 363,1508
Category 9,Product 628,1508
Category 3,Product 322,1506
Category 6,Product 95,1505
Category 9,Product 918,1504
Category 4,Product 383,1504
Category 10,Product 429,1503
Category 4,Product 423,1502
Category 3,Product 782,1501
Category 10,Product 969,1500
Category 6,Product 815,1497
Category 8,Product 257,1497
Category 2,Product 71,1494
Category 8,Product 897,1493
Category 6,Product 775,1492
Category 10,Product 69,1491
Category 10,Product 929,1490
Category 5,Product 154,1489
Category 3,Product 372,1489
Category 8,Product 707,1488
Category 4,Product 743,1488
Category 6,Product 745,1488
Category 6,Product 865,1484
Category 2,Product 501,1484
Category 8,Product 937,1481
Category 4,Product 813,1480
Category 7,Product 156,1473
Category 9,Product 248,1471
Category 7,Product 816,1466
Category 4,Product 913,1466
Category 2,Product 361,1462
Category 6,Product 55,1461
Category 3,Product 842,1460
Category 8,Product 157,1458
Category 8,Product 807,1457
Category 8,Product 617,1455
Category 5,Product 124,1455
Category 1,Product 310,1455
Category 9,Product 708,1454
Category 10,Product 499,1453
Category 8,Product 597,1445
Category 6,Product 835,1445
Category 9,Product 958,1445
Category 5,Product 504,1442
Category 1,Product 860,1441
Category 7,Product 256,1432
Category 1,Product 420,1431
Category 10,Product 329,1430
Category 1,Product 380,1429
Category 3,Product 362,1428
Category 8,Product 777,1426
Category 5,Product 434,1423
Category 9,Product 558,1419
Category 9,Product 668,1415
Category 6,Product 755,1413
Category 5,Product 274,1412
Category 6,Product 15,1410
Category 3,Product 12,1407
Category 2,Product 41,1407
Category 9,Product 418,1405
Category 7,Product 846,1405
Category 7,Product 786,1403
Category 3,Product 722,1401
Category 4,Product 533,1400
Category 6,Product 175,1398
Category 3,Product 822,1395
Category 3,Product 432,1394
Category 7,Product 236,1392
Category 9,Product 198,1390
Category 9,Product 768,1390
Category 8,Product 187,1386
Category 5,Product 244,1386
Category 7,Product 316,1386
Category 4,Product 143,1385
Category 6,Product 555,1385
Category 1,Product 510,1384
Category 9,Product 288,1384
Category 2,Product 191,1383
Category 9,Product 808,1379
Category 10,Product 719,1379
Category 3,Product 392,1376
Category 8,Product 487,1372
Category 4,Product 773,1372
Category 9,Product 728,1371
Category 3,Product 512,1368
Category 9,Product 368,1368
Category 6,Product 605,1367
Category 2,Product 791,1367
Category 2,Product 871,1367
Category 4,Product 863,1367
Category 9,Product 748,1366
Category 1,Product 10,1365
Category 2,Product 341,1362
Category 3,Product 692,1362
Category 8,Product 837,1355
Category 6,Product 545,1355
Category 2,Product 131,1351
Category 10,Product 749,1348
Category 7,Product 716,1347
Category 2,Product 991,1347
Category 6,Product 385,1346
Category 2,Product 561,1342
Category 2,Product 431,1341
Category 10,Product 669,1341
Category 3,Product 932,1339
Category 7,Product 676,1338
Category 10,Product 879,1337
Category 9,Product 648,1333
Category 5,Product 534,1333
Category 2,Product 451,1331
Category 3,Product 472,1330
Category 4,Product 473,1329
Category 5,Product 644,1329
Category 3,Product 142,1328
Category 10,Product 649,1327
Category 4,Product 523,1326
Category 7,Product 26,1325
Category 4,Product 83,1324
Category 9,Product 508,1319
Category 3,Product 712,1313
Category 2,Product 601,1311
Category 9,Product 158,1311
Category 9,Product 348,1308
Category 8,Product 477,1306
Category 10,Product 189,1306
Category 1,Product 20,1306
Category 3,Product 732,1306
Category 3,Product 132,1302
Category 10,Product 679,1301
Category 6,Product 845,1299
Category 9,Product 938,1297
Category 5,Product 444,1293
Category 5,Product 304,1290
Category 1,Product 890,1290
Category 8,Product 77,1289
Category 9,Product 128,1289
Category 9,Product 528,1286
Category 3,Product 802,1286
Category 4,Product 623,1285
Category 9,Product 488,1285
Category 5,Product 684,1281
Category 8,Product 307,1278
Category 2,Product 421,1274
Category 7,Product 186,1273
Category 8,Product 887,1273
Category 2,Product 911,1272
Category 1,Product 730,1269
Category 8,Product 447,1267
Category 7,Product 606,1265
Category 1,Product 390,1260
Category 8,Product 997,1258
Category 10,Product 949,1254
Category 1,Product 750,1254
Category 7,Product 866,1253
Category 1,Product 330,1250
Category 2,Product 551,1248
Category 6,Product 265,1247
Category 2,Product 101,1244
Category 1,Product 920,1241
Category 8,Product 787,1235
Category 10,Product 149,1233
Category 6,Product 245,1233
Category 6,Product 905,1231
Category 10,Product 79,1226
Category 9,Product 688,1226
Category 3,Product 612,1223
Category 5,Product 334,1219
Category 2,Product 801,1218
Category 8,Product 167,1216
Category 7,Product 226,1214
Category 4,Product 973,1214
Category 2,Product 241,1213
Category 3,Product 82,1212
Category 2,Product 221,1205
Category 9,Product 598,1205
Category 8,Product 377,1205
Category 8,Product 797,1204
Category 4,Product 803,1201
Category 7,Product 36,1195
Category 4,Product 263,1192
Category 3,Product 902,1189
Category 10,Product 829,1184
Category 3,Product 872,1182
Category 6,Product 995,1182
Category 2,Product 671,1181
Category 3,Product 762,1180
Category 10,Product 589,1179
Category 4,Product 253,1176
Category 2,Product 321,1175
Category 3,Product 202,1168
