ShipperName,TotalOrders,TotalRevenue,MonthsActive
Shipper 769,10,3436,8
Shipper 959,11,3385,6
Shipper 886,14,3307,8
Shipper 411,12,3230,10
Shipper 239,12,3191,9
Shipper 488,12,3175,7
Shipper 230,10,3132,6
Shipper 741,9,3102,5
Shipper 490,10,3078,8
Shipper 958,9,3073,7
Shipper 735,12,3052,7
Shipper 827,10,3027,8
Shipper 590,11,2978,7
Shipper 440,11,2946,7
Shipper 753,8,2943,7
Shipper 742,9,2938,6
Shipper 684,8,2935,5
Shipper 485,12,2926,6
Shipper 932,8,2859,4
Shipper 888,11,2852,8
Shipper 54,8,2843,6
Shipper 177,12,2842,5
Shipper 576,10,2834,7
Shipper 155,10,2812,8
Shipper 67,7,2805,6
Shipper 848,9,2802,6
Shipper 252,8,2772,5
Shipper 75,10,2767,7
Shipper 62,8,2756,4
Shipper 853,10,2754,7
Shipper 898,7,2741,5
Shipper 21,10,2740,7
Shipper 865,8,2718,6
Shipper 172,8,2702,6
Shipper 115,9,2694,6
Shipper 128,8,2689,5
Shipper 366,8,2685,7
Shipper 744,8,2672,6
Shipper 273,11,2671,8
Shipper 68,11,2662,9
Shipper 899,10,2656,8
Shipper 883,11,2652,8
Shipper 96,10,2636,6
Shipper 391,8,2633,5
Shipper 469,10,2596,7
Shipper 964,9,2594,4
Shipper 404,8,2584,8
Shipper 11,7,2570,5
Shipper 101,11,2561,10
Shipper 202,8,2555,5
Shipper 746,10,2554,7
Shipper 91,14,2552,8
Shipper 762,9,2549,7
Shipper 834,7,2547,4
Shipper 672,8,2542,6
Shipper 3,8,2542,6
Shipper 937,10,2505,7
Shipper 279,9,2496,7
Shipper 786,9,2489,7
Shipper 374,9,2486,6
Shipper 147,7,2473,5
Shipper 534,10,2456,8
Shipper 103,10,2444,5
Shipper 833,7,2444,5
Shipper 771,7,2421,5
Shipper 614,8,2420,4
Shipper 535,10,2417,9
Shipper 982,7,2417,6
Shipper 384,9,2414,6
Shipper 519,7,2406,4
Shipper 413,8,2388,7
Shipper 918,9,2383,5
Shipper 591,7,2375,5
Shipper 556,10,2371,7
Shipper 733,8,2344,6
Shipper 255,8,2338,5
Shipper 407,7,2337,6
Shipper 332,8,2336,5
Shipper 379,7,2327,6
