Region,Country,TotalSales,TotalOrders,UniqueCustomers
Region 2,Canada,18147,66,64
Region 10,Australia,17313,63,61
Region 40,Canada,16907,63,59
Region 22,Australia,16683,60,57
Region 38,Canada,16009,58,56
Region 13,USA,15767,60,58
Region 12,Australia,15739,61,60
Region 20,Canada,15693,59,57
Region 44,Canada,15648,58,57
Region 34,Canada,15540,59,57
Region 23,USA,15477,60,59
Region 48,Canada,15384,58,56
Region 27,USA,15285,62,62
Region 7,USA,15285,62,61
Region 2,Australia,15277,56,53
Region 4,Canada,15223,56,55
Region 19,UK,15144,62,61
Region 48,Australia,15090,54,54
Region 42,Canada,14704,48,48
Region 33,UK,14592,64,62
Region 29,UK,14589,55,55
Region 12,Canada,14489,55,54
Region 25,UK,14407,55,55
Region 42,Australia,14253,49,48
Region 25,USA,14210,50,50
Region 8,Australia,14187,52,51
Region 41,UK,13905,56,53
Region 6,Canada,13802,52,49
Region 20,Australia,13799,56,54
Region 14,Canada,13764,49,49
Region 49,UK,13639,54,54
Region 8,Canada,13624,60,56
Region 14,Australia,13569,51,50
Region 11,UK,13515,49,49
Region 44,Australia,13486,52,51
Region 31,UK,13362,51,50
Region 47,USA,13322,53,51
Region 16,Canada,13239,48,48
Region 32,Canada,13238,52,51
Region 36,Canada,13218,53,53
Region 27,UK,13173,49,47
Region 17,UK,13155,46,45
Region 35,UK,13148,50,48
Region 50,Australia,13127,60,57
Region 13,UK,13057,45,45
Region 15,UK,12961,52,50
Region 24,Canada,12957,49,49
Region 28,Canada,12883,48,45
Region 43,USA,12768,50,50
Region 9,UK,12678,49,45
Region 46,Australia,12591,51,51
Region 21,USA,12584,51,50
Region 23,UK,12555,47,46
Region 24,Australia,12537,46,44
Region 32,Australia,12526,55,52
Region 38,Australia,12348,49,49
Region 26,Australia,12259,52,50
Region 9,USA,12229,48,48
Region 1,USA,12225,48,48
Region 34,Australia,12206,46,45
Region 28,Australia,12118,45,45
Region 41,USA,12073,49,48
Region 5,USA,12050,47,47
Region 17,USA,11942,43,43
Region 35,USA,11743,47,47
Region 30,Canada,11708,48,47
Region 39,USA,11690,45,44
Region 3,USA,11686,50,48
Region 19,USA,11632,51,49
Region 40,Australia,11528,47,46
Region 45,USA,11503,48,47
Region 22,Canada,11485,51,49
Region 15,USA,11414,42,41
Region 4,Australia,11397,41,41
Region 10,Canada,11385,47,44
Region 33,USA,11295,46,46
Region 36,Australia,11264,48,47
Region 37,USA,11251,43,41
Region 1,UK,11198,43,39
Region 18,Canada,11189,51,50
Region 30,Australia,11178,44,43
Region 31,USA,11136,48,45
Region 3,UK,11036,39,38
Region 26,Canada,10982,40,40
Region 21,UK,10921,38,38
Region 47,UK,10884,46,46
Region 46,Canada,10872,46,46
Region 39,UK,10814,43,42
Region 5,UK,10601,40,40
Region 37,UK,10575,37,37
Region 29,USA,10327,44,44
Region 11,USA,10297,46,44
Region 49,USA,10049,49,47
Region 50,Canada,9985,49,48
Region 45,UK,9195,38,37
Region 43,UK,9174,37,37
Region 7,UK,8899,38,38
Region 6,Australia,8823,39,39
Region 18,Australia,8658,37,37
Region 16,Australia,7159,38,37
