ProductName,TotalQuantity,TotalRevenue,AverageUnitPrice,ProfitPerUnit
Product 364,386,3275,8.4844,7.0414
Product 177,365,2843,7.789,5.7095
Product 125,345,3079,8.9246,7.0347
Product 464,345,3837,11.1217,9.4173
Product 402,333,3267,9.8108,7.9459
Product 479,329,3287,9.9908,7.8996
Product 792,326,4123,12.6472,11.4325
Product 395,323,2389,7.3962,5.6656
Product 424,317,2891,9.1198,7.9148
Product 535,316,3918,12.3987,10.5791
Product 784,311,2441,7.8488,6.1704
Product 427,309,2853,9.233,7.4433
Product 433,308,3024,9.8181,8.422
Product 443,307,3083,10.0423,7.5211
Product 276,298,1714,5.7516,4.0067
Product 428,296,2598,8.777,7.1858
Product 727,292,1792,6.1369,4.6712
Product 800,290,2131,7.3482,5.362
Product 434,289,1423,4.9238,3.4083
Product 543,286,3317,11.5979,9.3426
Product 981,285,2487,8.7263,7.5789
Product 554,284,2601,9.1584,7.3873
Product 266,282,3432,12.1702,10.1453
Product 436,281,2008,7.1459,6.3131
Product 438,280,2844,10.1571,8.6285
Product 876,280,3012,10.7571,9.0535
Product 738,280,2638,9.4214,7.3142
Product 138,279,2786,9.9856,8.448
Product 93,276,2715,9.8369,8.0434
Product 81,271,1804,6.6568,4.9594
Product 57,270,2847,10.5444,9.0925
Product 335,269,1702,6.3271,4.6245
Product 184,268,1862,6.9477,5.2164
Product 517,268,1774,6.6194,5.4141
Product 53,267,2082,7.7977,6.131
Product 578,267,2308,8.6441,6.0711
Product 580,266,1766,6.639,5.0413
Product 648,266,1333,5.0112,3.3984
Product 17,263,1949,7.4106,4.9011
Product 413,262,2912,11.1145,9.0648
Product 940,261,1776,6.8045,4.4597
Product 218,260,1935,7.4423,5.7846
Product 404,255,1737,6.8117,4.745
Product 382,255,2057,8.0666,6.0901
Product 922,255,3610,14.1568,10.8274
Product 763,255,2207,8.6549,6.8352
Product 522,254,2483,9.7755,7.8779
Product 11,252,2329,9.242,7.0277
Product 859,252,2039,8.0912,5.5396
Product 994,252,1804,7.1587,4.5436
Product 702,251,2247,8.9521,7.0239
Product 593,250,2093,8.372,6.804
Product 154,247,1489,6.0283,4.5303
Product 292,247,2479,10.0364,8.3805
Product 706,247,1683,6.8137,5.0161
Product 34,246,1955,7.9471,6.7032
Product 311,245,1739,7.0979,5.5306
Product 571,244,2821,11.5614,9.3524
Product 663,244,2925,11.9877,9.8934
Product 73,243,2442,10.0493,8.2633
Product 848,243,1770,7.2839,5.1934
Product 42,242,2410,9.9586,7.9669
Product 107,240,2149,8.9541,6.7625
Product 930,240,1944,8.1,6.0708
Product 111,239,1713,7.1673,5.5941
Product 437,239,2639,11.0418,9.1799
Product 54,239,2224,9.3054,7.4811
Product 118,238,2393,10.0546,7.8151
Product 982,238,1045,4.3907,2.3193
Product 557,237,2306,9.7299,7.9324
Product 595,236,1711,7.25,5.1355
Product 32,235,2490,10.5957,7.8595
Product 780,235,2803,11.9276,9.7446
Product 295,234,2369,10.1239,8.3333
Product 274,234,1412,6.0341,4.8675
Product 565,234,1801,7.6965,5.8418
Product 302,233,3890,16.6952,13.8497
Product 26,232,1325,5.7112,4.1163
Product 707,231,1488,6.4415,3.9956
Product 132,230,1302,5.6608,4.0565
Product 415,230,1828,7.9478,5.713
Product 155,229,1813,7.917,6.0262
Product 717,229,2102,9.179,7.0436
Product 720,228,1687,7.3991,5.6798
Product 722,228,1401,6.1447,4.2456
Product 673,228,1892,8.2982,6.5745
Product 857,226,1915,8.4734,5.969
Product 327,226,1558,6.8938,5.5044
Product 527,226,1617,7.1548,5.146
Product 597,223,1445,6.4798,5.1524
Product 411,223,1989,8.9192,7.2869
Product 270,223,2170,9.7309,7.8609
Product 767,223,3241,14.5336,11.1479
Product 89,222,2115,9.527,8.054
Product 440,222,2564,11.5495,9.8198
Product 980,220,2101,9.55,7.2954
Product 765,220,2802,12.7363,9.8
Product 842,220,1460,6.6363,4.8772
Product 41,219,1407,6.4246,5.5936
Product 322,218,1506,6.9082,5.422
Product 913,217,1466,6.7557,4.7096
Product 15,216,1410,6.5277,4.3194
Product 195,216,3113,14.412,12.25
Product 205,216,1848,8.5555,6.9444
Product 213,215,2125,9.8837,8.1162
Product 306,215,1931,8.9813,6.6046
Product 396,215,2362,10.986,8.1534
Product 430,215,1644,7.6465,6.1674
Product 972,214,2273,10.6214,8.1682
Product 752,213,1541,7.2347,5.183
Product 680,213,1832,8.6009,6.1784
Product 432,213,1394,6.5446,4.3098
Product 211,212,1879,8.8632,6.7452
Product 173,211,1935,9.1706,8.0853
Product 35,210,1926,9.1714,7.2761
Product 429,210,1503,7.1571,5.7047
Product 513,210,1934,9.2095,6.9857
Product 489,210,2100,10,8.2285
Product 637,210,1574,7.4952,5.3
Product 634,209,1820,8.7081,6.6459
Product 87,209,1047,5.0095,3.7607
Product 820,209,1538,7.3588,5
Product 228,209,2534,12.1244,10.1866
Product 964,208,2802,13.4711,10.2019
Product 670,207,2029,9.8019,8.5072
Product 360,207,1934,9.3429,7.8985
Product 504,206,1442,7,5.097
Product 147,206,1754,8.5145,7.165
Product 104,206,2059,9.9951,8.466
Product 703,206,2385,11.5776,9.1456
Product 814,206,2119,10.2864,7.7815
Product 841,205,1833,8.9414,7.439
Product 106,205,1933,9.4292,7.4682
Product 114,204,2337,11.4558,10.0833
Product 584,204,2493,12.2205,9.8774
Product 602,203,2306,11.3596,9.6059
Product 426,203,2214,10.9064,8.7733
Product 225,203,1597,7.8669,5.995
Product 31,203,2399,11.8177,9.4729
Product 873,203,1767,8.7044,7.7931
Product 856,202,1970,9.7524,8.2227
Product 64,202,2087,10.3316,8.391
Product 410,202,2584,12.792,10.2079
Product 540,202,2092,10.3564,7.9356
Product 564,201,2293,11.4079,8.6567
Product 890,201,1290,6.4179,4.4527
Product 658,199,1745,8.7688,6.5979
Product 79,199,1226,6.1608,3.1005
Product 56,199,1875,9.4221,7.3668
Product 243,199,2719,13.6633,12.4874
Product 499,198,1453,7.3383,4.6717
Product 461,198,2158,10.8989,7.8434
Product 811,198,1566,7.909,6.3181
Product 945,198,1147,5.7929,3.8131
Product 976,197,2318,11.7664,9.5837
Product 916,197,2594,13.1675,10.736
Product 553,197,3335,16.9289,14.0304
Product 230,197,1769,8.9796,6.2335
Product 18,197,1901,9.6497,7.5329
Product 191,197,1383,7.0203,4.7614
Product 164,195,1634,8.3794,7.8307
Product 129,195,1159,5.9435,4.1692
Product 394,195,1922,9.8564,8.4461
Product 817,195,1939,9.9435,8.2102
Product 852,195,1804,9.2512,7.8615
Product 510,194,1384,7.134,5.2835
Product 197,194,2705,13.9432,12.7061
Product 245,194,1233,6.3556,4.6546
Product 546,193,2366,12.259,10.1606
Product 477,192,1306,6.802,5.5104
Product 615,192,1977,10.2968,8.8802
Product 871,192,1367,7.1197,4.125
Product 361,191,1462,7.6544,5.3298
Product 117,190,2438,12.8315,10.5631
Product 669,190,1341,7.0578,5.0947
Product 818,189,2298,12.1587,10.4814
Product 96,189,2011,10.6402,8.4867
Product 303,189,2097,11.0952,9.6031
Product 13,188,1765,9.3882,8.2446
Product 187,188,1386,7.3723,4.8457
Product 919,188,1712,9.1063,6.7074
Product 779,187,1670,8.9304,6.8716
Product 582,187,2074,11.0909,9.5133
Product 501,186,1484,7.9784,7.0268
Product 171,186,1578,8.4838,7.2795
Product 121,186,1858,9.9892,7.7956
Product 102,186,1953,10.5,9.0967
Product 133,185,845,4.5675,2.4864
Product 605,185,1367,7.3891,6.3351
Product 781,185,2180,11.7837,9.9135
Product 929,185,1490,8.054,6.254
Product 803,184,1201,6.5271,4.6739
Product 847,184,1680,9.1304,7.125
Product 126,184,1078,5.8586,3.7771
Product 156,183,1473,8.0491,6.765
Product 759,183,1050,5.7377,3.7103
Product 770,183,1708,9.3333,7.5081
Product 886,183,1874,10.2404,7.754
Product 95,183,1505,8.224,6.4371
Product 537,182,2226,12.2307,9.6648
Product 471,182,1841,10.1153,7.9725
Product 43,182,1973,10.8406,8.6593
Product 22,181,2109,11.6519,9.8011
Product 289,181,1606,8.8729,6.5911
Product 927,181,1740,9.6132,7.3646
Product 626,181,1752,9.6795,7.9723
Product 850,180,1162,6.4555,4.5055
Product 60,180,1897,10.5388,8.5888
Product 570,180,1867,10.3722,8.1444
Product 579,180,1949,10.8277,8.8111
Product 589,179,1179,6.5865,4.6145
Product 528,179,1286,7.1843,5.7206
Product 368,179,1368,7.6424,6.3743
Product 199,179,1859,10.3854,8.2011
Product 617,179,1455,8.1284,6.7653
Product 616,178,1675,9.4101,7.6348
Product 719,178,1379,7.7471,6.191
Product 815,178,1497,8.4101,6.2977
Product 760,178,1650,9.2696,7.2977
Product 925,178,2252,12.6516,11.1011
Product 212,178,744,4.1797,2.6853
Product 585,178,1830,10.2808,7.8707
Product 541,177,1731,9.7796,8.7175
Product 490,177,1611,9.1016,6.7683
Product 896,177,1073,6.0621,4.0395
Product 405,176,1651,9.3806,6.7102
Product 493,175,1820,10.4,7.9142
Product 19,175,1923,10.9885,8.7771
Product 103,175,926,5.2914,3.5371
Product 254,175,2040,11.6571,8.9371
Product 892,175,1702,9.7257,8.24
Product 960,175,1681,9.6057,7.6971
Product 966,174,1157,6.6494,4.2068
Product 308,174,1740,10,8.6379
Product 515,174,2816,16.1839,12.6206
Product 586,174,1603,9.2126,6.9425
Product 552,174,1781,10.2356,7.931
Product 168,173,1772,10.2427,7.8612
Product 787,173,1235,7.1387,5.8208
Product 807,173,1457,8.4219,7.3815
Product 671,173,1181,6.8265,4.5202
Product 666,173,2018,11.6647,9.0635
Product 65,172,1612,9.372,7.4476
Product 891,172,960,5.5813,3.5523
Product 163,172,1853,10.7732,9.0348
Product 137,172,1027,5.9709,3.6046
Product 323,172,2295,13.343,10.3895
Product 556,172,2118,12.3139,10.4941
Product 363,172,1508,8.7674,6.6918
Product 372,172,1489,8.6569,6.5058
Product 383,170,1504,8.847,7.0588
Product 384,170,2097,12.3352,10.147
Product 613,170,2003,11.7823,9.547
Product 963,170,712,4.1882,3.0705
Product 867,170,2103,12.3705,10.2941
Product 655,169,3058,18.0946,14.4319
Product 631,169,988,5.8461,4.8343
Product 736,169,1826,10.8047,8.6982
Product 407,169,1596,9.4437,7.6863
Product 399,169,1658,9.8106,7.2721
Product 470,169,2049,12.1242,9.5443
Product 297,169,1811,10.7159,9.7041
Product 66,168,2445,14.5535,12.1071
Product 881,167,2461,14.7365,11.7365
Product 128,167,1289,7.7185,6.1856
Product 206,166,1640,9.8795,8.7228
Product 401,166,2101,12.6566,9.3373
Product 732,166,1306,7.8674,5.9096
Product 710,166,1154,6.9518,4.759
Product 843,166,1889,11.3795,9.3012
Product 846,165,1405,8.5151,6.0424
Product 805,165,2007,12.1636,9.9151
Product 766,165,1751,10.6121,8.2969
Product 990,165,554,3.3575,2.0121
Product 459,165,605,3.6666,1.7212
Product 494,165,1591,9.6424,7.2242
Product 267,165,1579,9.5696,6.6727
Product 310,164,1455,8.8719,7.1524
Product 467,164,1522,9.2804,8.0304
Product 393,164,1026,6.256,4.5426
Product 988,164,1889,11.5182,9.4146
Product 958,164,1445,8.8109,7.1585
Product 768,164,1390,8.4756,7.3353
Product 69,163,1491,9.1472,7.5214
Product 657,163,1807,11.0858,9.4969
Product 953,163,1078,6.6134,4.3558
Product 370,163,1695,10.3987,8.7116
Product 460,163,1735,10.6441,8.5705
Product 61,163,1845,11.319,9.1533
Product 505,162,1143,7.0555,5.8395
Product 455,162,1047,6.4629,4.3827
Product 159,162,2122,13.0987,10.0246
Product 948,162,987,6.0925,4.574
Product 677,162,2170,13.395,10.7037
Product 790,162,1652,10.1975,7.8888
Product 775,161,1492,9.267,7.5341
Product 750,161,1254,7.7888,5.7577
Product 705,161,1574,9.7763,8.4347
Product 124,161,1455,9.0372,6.5341
Product 150,160,1104,6.9,5.575
Product 190,160,1642,10.2625,8.6562
Product 325,160,1128,7.05,5.0812
Product 49,160,988,6.175,3.925
Product 756,160,1131,7.0687,4.5062
Product 70,159,2144,13.4842,11.3522
Product 502,159,958,6.0251,4.6226
Product 350,159,2156,13.5597,11.1823
Product 280,158,601,3.8037,2.7215
Product 569,158,1641,10.386,7.7405
Product 484,158,778,4.924,3.0063
Product 627,158,2404,15.2151,13.7531
Product 804,158,1079,6.8291,5.2468
Product 967,157,1044,6.6496,4.7834
Product 935,157,1673,10.656,8.9745
Product 389,157,1648,10.4968,9.0318
Product 59,157,1676,10.6751,8.0636
Product 512,156,1368,8.7692,7.141
Product 378,156,2882,18.4743,14.7371
Product 475,156,646,4.141,2.4615
Product 260,156,1151,7.3782,5.7756
Product 995,156,1182,7.5769,5.7371
Product 882,155,2147,13.8516,11.6129
Product 835,155,1445,9.3225,6.8645
Product 745,154,1488,9.6623,8
Product 283,154,933,6.0584,4.4545
Product 21,154,1732,11.2467,9.2597
Product 116,154,2250,14.6103,12.461
Product 127,153,1867,12.2026,10.3071
Product 375,153,1145,7.4836,4.9803
Product 547,153,1780,11.6339,8.6993
Product 574,153,1076,7.0326,5.2745
Product 563,153,975,6.3725,4.3921
Product 828,153,1975,12.9084,10.4575
Product 836,152,1867,12.2828,11.2894
Product 903,152,2294,15.0921,12.0526
Product 169,152,1069,7.0328,5.6644
Product 575,151,1096,7.2582,4.4834
Product 356,151,1825,12.086,9.5231
Product 683,151,1527,10.1125,9.0264
Product 688,150,1226,8.1733,6.6266
Product 486,150,1080,7.2,4.9333
Product 253,150,1176,7.84,6.2333
Product 307,150,1278,8.52,6.86
Product 151,149,2273,15.255,11.2818
Product 145,149,1775,11.9127,10.1946
Product 791,149,1367,9.1744,6.51
Product 68,148,1567,10.5878,8.8986
Product 918,148,1504,10.1621,7.6689
Product 984,148,877,5.9256,4.8175
Product 135,148,991,6.6959,4.9527
Product 2,148,1513,10.2229,8.054
Product 523,148,1326,8.9594,5.9391
Product 20,147,1306,8.8843,5.8027
Product 214,147,865,5.8843,4.4693
Product 105,147,1669,11.3537,8.4693
Product 951,147,1763,11.9931,9.6666
Product 262,146,1089,7.4589,5.8835
Product 525,146,1539,10.541,7.5547
Product 379,145,1917,13.2206,11.0827
Product 101,145,1244,8.5793,6.8689
Product 795,145,992,6.8413,4.5448
Product 786,145,1403,9.6758,8.2827
Product 723,144,651,4.5208,1.3194
Product 668,144,1415,9.8263,8.5277
Product 983,144,917,6.368,4.5972
Product 100,144,1547,10.743,9.1736
Product 530,144,1561,10.8402,7.7847
Product 357,143,3290,23.0069,20.5384
Product 485,143,2424,16.951,13.6573
Product 130,143,1934,13.5244,10.3496
Product 241,143,1213,8.4825,6.6783
Product 714,143,950,6.6433,4.2587
Product 712,142,1313,9.2464,7.3943
Product 649,142,1327,9.345,6.5774
Product 82,142,1212,8.5352,6.669
Product 870,142,2091,14.7253,12.4577
Product 955,141,1858,13.1773,10.7872
Product 875,141,1128,8,4.9787
Product 48,141,1645,11.6666,9.9432
Product 343,140,1105,7.8928,6.0142
Product 198,140,1390,9.9285,8.2285
Product 950,140,1848,13.2,10.7642
Product 819,140,1575,11.25,8.8714
Product 823,140,1866,13.3285,12.1928
Product 62,140,1058,7.5571,5.4642
Product 952,139,1673,12.0359,9.5251
Product 911,139,1272,9.151,7.3884
Product 158,139,1311,9.4316,7.1366
Product 256,139,1432,10.3021,9.223
Product 226,139,1214,8.7338,6.3956
Product 457,139,2022,14.5467,12.482
Product 568,139,1618,11.6402,9.3812
Product 285,138,1638,11.8695,10.1884
Product 316,138,1386,10.0434,7.6231
Product 221,138,1205,8.7318,5.5724
Product 12,138,1407,10.1956,9.0072
Product 829,138,1184,8.5797,6.5144
Product 826,137,1677,12.2408,9.9562
Product 844,137,794,5.7956,3.6204
Product 778,137,1123,8.197,6.8467
Product 917,137,805,5.8759,3.7007
Product 877,137,829,6.051,3.5401
Product 10,137,1365,9.9635,7.9635
Product 134,137,1645,12.0072,9.4963
Product 559,137,2129,15.5401,13.5328
Product 385,137,1346,9.8248,7.3138
Product 445,136,968,7.1176,5.3014
Product 496,136,1559,11.4632,9.625
Product 258,136,733,5.3897,3.6764
Product 936,136,2286,16.8088,12.5808
Product 851,136,1164,8.5588,7.1102
Product 639,136,919,6.7573,4.9117
Product 801,135,1218,9.0222,7.2296
Product 753,135,513,3.8,2.0296
Product 249,135,2103,15.5777,12.6888
Product 16,135,1548,11.4666,9.5481
Product 113,135,2006,14.8592,10.7111
Product 608,134,1141,8.5149,6.7014
Product 423,134,1502,11.2089,8.7388
Product 865,134,1484,11.0746,8.7388
Product 973,133,1214,9.1278,7.5864
Product 58,133,1156,8.6917,6.7067
Product 300,133,859,6.4586,5.015
Product 185,132,1053,7.9772,5.0151
Product 604,132,640,4.8484,2.2348
Product 590,132,457,3.4621,1.4166
Product 598,132,1205,9.1287,7.3712
Product 480,132,2379,18.0227,15.7954
Product 620,132,2190,16.5909,13.159
Product 660,132,945,7.159,4.606
Product 708,132,1454,11.0151,8.4848
Product 718,131,1064,8.1221,5.9312
Product 646,131,815,6.2213,4.9083
Product 667,131,1017,7.7633,6.0839
Product 465,131,1671,12.7557,10.0916
Product 376,131,1039,7.9312,5.4885
Product 551,131,1248,9.5267,8.4503
Product 526,130,1681,12.9307,10.7538
Product 290,130,1622,12.4769,9.9769
Product 326,130,2029,15.6076,13.6538
Product 777,130,1426,10.9692,8.9615
Product 943,130,1059,8.1461,6.5
Product 906,130,1648,12.6769,10.6846
Product 923,129,1161,9,7.248
Product 938,129,1297,10.0542,8.186
Product 77,129,1289,9.9922,7.5348
Product 633,129,875,6.7829,5.3565
Product 246,128,2869,22.414,18.3125
Product 279,128,1631,12.7421,10.4843
Product 201,128,1088,8.5,6.9921
Product 594,128,735,5.7421,4.3515
Product 362,127,1428,11.244,9.0393
Product 398,127,1110,8.7401,6.2755
Product 167,127,1216,9.5748,6.9448
Product 638,127,1881,14.811,10.4566
Product 612,127,1223,9.6299,6.874
Product 689,127,808,6.3622,5.0236
Product 954,127,1111,8.748,6.7874
Product 962,127,1612,12.6929,10.5748
Product 697,126,1139,9.0396,6.6746
Product 746,126,2109,16.738,12.6587
Product 175,126,1398,11.0952,8.7142
Product 236,126,1392,11.0476,8.1746
Product 468,126,1054,8.365,6.7142
Product 478,126,1740,13.8095,12.6825
Product 581,126,1809,14.3571,10.8571
Product 534,126,1333,10.5793,7.738
